element_key,input_text,target_text_xpath,target_text_css,class
cls_a_layout-catalog-logo__link,"<a class=""layout-catalog-logo__link link"" href=""https://www.zara.com/ie/"" title=""ZARA Ireland, Go to the Zara homepage"" itemprop=""url"" data-qa-action=""logo-click"" aria-label=""Go to home page"" tabindex=""0""><svg class=""layout-catalog-logo-icon layout-catalog-logo-icon--fade-enter-done"" aria-hidden=""true"" width=""274"" viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M105.673.035l19.557 53.338 6.77.002v.383h-21.548v-.383h6.344l-6.431-17.54H97.311v.007l.07.2","//a[contains(@class, 'layout-catalog-logo__link')]",a.layout-catalog-logo__link,layout-catalog-logo__link link
qaid_a_header-search-text-link,"<a class=""layout-header-action__link layout-header-action__link--type-text link"" href=""https://www.zara.com/ie/en/search/home"" data-qa-id=""header-search-text-link"" tabindex=""0""><span class=""layout-header-action-search__content""><span>Search</span></span></a>",//a[@data-qa-id='header-search-text-link'],a[data-qa-id='header-search-text-link'],layout-header-action__link layout-header-action__link--type-text link
cls_span_layout-header-action-search__content,"<span class=""layout-header-action-search__content""><span>Search</span></span>","//span[contains(@class, 'layout-header-action-search__content')]",span.layout-header-action-search__content,layout-header-action-search__content
qaid_a_layout-header-user-logon,"<a class=""layout-header-action__link layout-header-action__link--type-text link"" href=""https://www.zara.com/ie/en/logon"" data-qa-id=""layout-header-user-logon"" tabindex=""0"">LOG IN</a>",//a[@data-qa-id='layout-header-user-logon'],a[data-qa-id='layout-header-user-logon'],layout-header-action__link layout-header-action__link--type-text link
qaid_a_notify-help-center-click,"<a class=""layout-header-action__link layout-header-action__link--type-text link"" href=""https://www.zara.com/ie/en/help-center"" data-qa-id=""notify-help-center-click"" tabindex=""0"">Help</a>",//a[@data-qa-id='notify-help-center-click'],a[data-qa-id='notify-help-center-click'],layout-header-action__link layout-header-action__link--type-text link
qaid_a_layout-header-go-to-cart,"<a class=""layout-header-action__link layout-header-action__link--type-text link"" href=""https://www.zara.com/ie/en/shop/cart"" data-qa-id=""layout-header-go-to-cart"" aria-label=""Basket empty"" tabindex=""0""><span>Shopping bag</span> [<span role=""status"" aria-live=""polite"" data-qa-id=""layout-header-go-to-cart-items-count"">0</span>]</a>",//a[@data-qa-id='layout-header-go-to-cart'],a[data-qa-id='layout-header-go-to-cart'],layout-header-action__link layout-header-action__link--type-text link
cls_div_zds-modal,"<div data-hidden=""true"" aria-hidden=""true"" role=""presentation"" class=""zds-modal layout-menu-std layout-menu-std--close layout-menu-std--closing""><div class=""layout-menu-std__content"" aria-label=""Category menu"" role=""dialog"" aria-modal=""true"" tabindex=""-1""><div class=""layout-menu-std__header""><button aria-label=""Close menu"" class=""layout-header-icon layout-menu-std__icon"" data-qa-id=""layout-header-close""><div role=""presentation"" class=""animated-hamburger-64 animated-hamburger-64--menu""><span class=""animated-","//div[contains(@class, 'zds-modal')]",div.zds-modal,zds-modal layout-menu-std layout-menu-std--close layout-menu-std--closing
cls_div_layout-menu-std__content,"<div class=""layout-menu-std__content"" aria-label=""Category menu"" role=""dialog"" aria-modal=""true"" tabindex=""-1""><div class=""layout-menu-std__header""><button aria-label=""Close menu"" class=""layout-header-icon layout-menu-std__icon"" data-qa-id=""layout-header-close""><div role=""presentation"" class=""animated-hamburger-64 animated-hamburger-64--menu""><span class=""animated-hamburger-64__line-1""></span><span class=""animated-hamburger-64__line-2""></span><span class=""animated-hamburger-64__line-3""></span><span class=""a","//div[contains(@class, 'layout-menu-std__content')]",div.layout-menu-std__content,layout-menu-std__content
cls_div_layout-menu-std__header,"<div class=""layout-menu-std__header""><button aria-label=""Close menu"" class=""layout-header-icon layout-menu-std__icon"" data-qa-id=""layout-header-close""><div role=""presentation"" class=""animated-hamburger-64 animated-hamburger-64--menu""><span class=""animated-hamburger-64__line-1""></span><span class=""animated-hamburger-64__line-2""></span><span class=""animated-hamburger-64__line-3""></span><span class=""animated-hamburger-64__line-4""></span></div></button><div class=""layout-header-logo layout-menu-std__logo""><a hr","//div[contains(@class, 'layout-menu-std__header')]",div.layout-menu-std__header,layout-menu-std__header
qaid_button_layout-header-close,"<button aria-label=""Close menu"" class=""layout-header-icon layout-menu-std__icon"" data-qa-id=""layout-header-close""><div role=""presentation"" class=""animated-hamburger-64 animated-hamburger-64--menu""><span class=""animated-hamburger-64__line-1""></span><span class=""animated-hamburger-64__line-2""></span><span class=""animated-hamburger-64__line-3""></span><span class=""animated-hamburger-64__line-4""></span></div></button>",//button[@data-qa-id='layout-header-close'],button[data-qa-id='layout-header-close'],layout-header-icon layout-menu-std__icon
cls_div_animated-hamburger-64,"<div role=""presentation"" class=""animated-hamburger-64 animated-hamburger-64--menu""><span class=""animated-hamburger-64__line-1""></span><span class=""animated-hamburger-64__line-2""></span><span class=""animated-hamburger-64__line-3""></span><span class=""animated-hamburger-64__line-4""></span></div>","//div[contains(@class, 'animated-hamburger-64')]",div.animated-hamburger-64,animated-hamburger-64 animated-hamburger-64--menu
cls_span_animated-hamburger-64__line-1,"<span class=""animated-hamburger-64__line-1""></span>","//span[contains(@class, 'animated-hamburger-64__line-1')]",span.animated-hamburger-64__line-1,animated-hamburger-64__line-1
cls_span_animated-hamburger-64__line-2,"<span class=""animated-hamburger-64__line-2""></span>","//span[contains(@class, 'animated-hamburger-64__line-2')]",span.animated-hamburger-64__line-2,animated-hamburger-64__line-2
cls_span_animated-hamburger-64__line-3,"<span class=""animated-hamburger-64__line-3""></span>","//span[contains(@class, 'animated-hamburger-64__line-3')]",span.animated-hamburger-64__line-3,animated-hamburger-64__line-3
cls_span_animated-hamburger-64__line-4,"<span class=""animated-hamburger-64__line-4""></span>","//span[contains(@class, 'animated-hamburger-64__line-4')]",span.animated-hamburger-64__line-4,animated-hamburger-64__line-4
cls_a_layout-header-logo__link,"<a href=""https://www.zara.com/ie/"" aria-label=""Go to home page"" class=""layout-header-logo__link""><svg class=""layout-header-logo__icon"" aria-hidden=""true"" width=""274"" viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M105.673.035l19.557 53.338 6.77.002v.383h-21.548v-.383h6.344l-6.431-17.54H97.311v.007l.07.204c.521 1.548.78 3.17.764 4.803v6.575c0 3.382 1.494 6.81 4.347 6.81 1.675 0 3.012-.59 4.604-2.046l.227.211C105.594 54.224 103.5 55 100.36 55c-2.37 0-4","//a[contains(@class, 'layout-header-logo__link')]",a.layout-header-logo__link,layout-header-logo__link
cls_div_layout-menu-std__menu,"<div class=""layout-menu-std__menu layout-menu-std__menu--close""><nav class=""layout-categories"" data-qa-action=""close-sidebar-on-click-outside""><div><div class=""zds-nav-row layout-categories__container""><ul class=""zds-nav-row__list zds-nav-row__list--label layout-categories__container-list""><li class=""zds-nav-row__list-item zds-nav-row__list-item--label zds-nav-row__list-item--active layout-categories__container-item--level-1""><div class=""zds-nav-row__list-item-wrapper""><div class=""layout-categories-category","//div[contains(@class, 'layout-menu-std__menu')]",div.layout-menu-std__menu,layout-menu-std__menu layout-menu-std__menu--close
cls_div_zds-nav-row,"<div class=""zds-nav-row layout-categories__container""><ul class=""zds-nav-row__list zds-nav-row__list--label layout-categories__container-list""><li class=""zds-nav-row__list-item zds-nav-row__list-item--label zds-nav-row__list-item--active layout-categories__container-item--level-1""><div class=""zds-nav-row__list-item-wrapper""><div class=""layout-categories-category layout-categories-category--level-1 layout-categories-category--highlighted"" data-categoryid=""1881757"" data-seocategoryid=""1000"" data-layout=""marke","//div[contains(@class, 'zds-nav-row')]",div.zds-nav-row,zds-nav-row layout-categories__container
cls_div_zds-nav-row__list-item-wrapper,"<div class=""zds-nav-row__list-item-wrapper""><div class=""layout-categories-category layout-categories-category--level-1 layout-categories-category--highlighted"" data-categoryid=""1881757"" data-seocategoryid=""1000"" data-layout=""marketing-content-view"" data-isredirected=""false"" data-qa-qualifier=""category-level-1""><a class=""layout-categories-category__link link"" data-qa-action=""unfold-category"" draggable=""false"" role=""button"" aria-expanded=""true"" href=""https://www.zara.com/ie/en/woman-mkt1000.html"" tabindex=""0""","//div[contains(@class, 'zds-nav-row__list-item-wrapper')]",div.zds-nav-row__list-item-wrapper,zds-nav-row__list-item-wrapper
cls_div_layout-categories-category,"<div class=""layout-categories-category layout-categories-category--level-1 layout-categories-category--highlighted"" data-categoryid=""1881757"" data-seocategoryid=""1000"" data-layout=""marketing-content-view"" data-isredirected=""false"" data-qa-qualifier=""category-level-1""><a class=""layout-categories-category__link link"" data-qa-action=""unfold-category"" draggable=""false"" role=""button"" aria-expanded=""true"" href=""https://www.zara.com/ie/en/woman-mkt1000.html"" tabindex=""0""><span class=""layout-categories-category__na","//div[contains(@class, 'layout-categories-category')]",div.layout-categories-category,layout-categories-category layout-categories-category--level-1 layout-categories-category--highlighted
cls_a_layout-categories-category__link,"<a class=""layout-categories-category__link link"" data-qa-action=""unfold-category"" draggable=""false"" href=""https://www.zara.com/ie/en/woman-accessories-l1003.html"" tabindex=""0""><span class=""layout-categories-category__name"">ACCESSORIES | JEWELLERY</span></a>","//a[contains(@class, 'layout-categories-category__link')]",a.layout-categories-category__link,layout-categories-category__link link
cls_span_layout-categories-category__name,"<span class=""layout-categories-category__name"">WOMAN</span>","//span[contains(@class, 'layout-categories-category__name')]",span.layout-categories-category__name,layout-categories-category__name
cls_div_layout-categories__carousel,"<div class=""layout-categories__carousel""><div class=""zds-carousel""><div class=""zds-carousel-container"" style=""overflow-x: clip; --zds-carousel-space-between-items: 0px;""><div class=""zds-carousel-content zds-carousel-content--horizontal layout-categories-category__carousel-items-animation"" style=""transform: translate3d(0px, 0px, 0px);""><div class=""zds-carousel-item layout-categories__carousel-item"" data-zds-carousel-element=""true""><ul class=""layout-categories-category__subcategory-main""><li class=""layout-cat","//div[contains(@class, 'layout-categories__carousel')]",div.layout-categories__carousel,layout-categories__carousel
cls_div_zds-carousel,"<div class=""zds-carousel""><div class=""zds-carousel-container"" style=""overflow-x: clip; --zds-carousel-space-between-items: 0px;""><div class=""zds-carousel-content zds-carousel-content--horizontal layout-categories-category__carousel-items-animation"" style=""transform: translate3d(0px, 0px, 0px);""><div class=""zds-carousel-item layout-categories__carousel-item"" data-zds-carousel-element=""true""><ul class=""layout-categories-category__subcategory-main""><li class=""layout-categories-category layout-categories-catego","//div[contains(@class, 'zds-carousel')]",div.zds-carousel,zds-carousel
cls_div_zds-carousel-container,"<div class=""zds-carousel-container"" style=""overflow-x: clip; --zds-carousel-space-between-items: 0px;""><div class=""zds-carousel-content zds-carousel-content--horizontal layout-categories-category__carousel-items-animation"" style=""transform: translate3d(0px, 0px, 0px);""><div class=""zds-carousel-item layout-categories__carousel-item"" data-zds-carousel-element=""true""><ul class=""layout-categories-category__subcategory-main""><li class=""layout-categories-category layout-categories-category--level-2"" data-category","//div[contains(@class, 'zds-carousel-container')]",div.zds-carousel-container,zds-carousel-container
cls_div_zds-carousel-content,"<div class=""zds-carousel-content zds-carousel-content--horizontal layout-categories-category__carousel-items-animation"" style=""transform: translate3d(0px, 0px, 0px);""><div class=""zds-carousel-item layout-categories__carousel-item"" data-zds-carousel-element=""true""><ul class=""layout-categories-category__subcategory-main""><li class=""layout-categories-category layout-categories-category--level-2"" data-categoryid=""2572481"" data-seocategoryid=""15653"" data-layout=""marketing-content-view"" data-isredirected=""true"" d","//div[contains(@class, 'zds-carousel-content')]",div.zds-carousel-content,zds-carousel-content zds-carousel-content--horizontal layout-categories-category__carousel-items-animation
cls_div_zds-carousel-item,"<div class=""zds-carousel-item layout-categories__carousel-item"" data-zds-carousel-element=""true""><ul class=""layout-categories-category__subcategory-main""><li class=""layout-categories-category layout-categories-category--level-2"" data-categoryid=""2572481"" data-seocategoryid=""15653"" data-layout=""marketing-content-view"" data-isredirected=""true"" data-qa-qualifier=""category-level-2""><a class=""layout-categories-category__link link"" data-qa-action=""unfold-category"" draggable=""false"" href=""https://www.zara.com/ie/e","//div[contains(@class, 'zds-carousel-item')]",div.zds-carousel-item,zds-carousel-item layout-categories__carousel-item
cls_div_layout-categories-category-animation,"<div class=""layout-categories-category-animation layout-categories-category__subcategory-animation-wrapper layout-categories-category-animation--animate""><ul class=""layout-categories-category__subcategory""><li class=""layout-categories-category layout-categories-category--level-3"" data-categoryid=""2546081"" data-seocategoryid=""1180"" data-layout=""products-category-view"" data-isredirected=""false"" data-qa-qualifier=""category-level-3""><a class=""layout-categories-category__link link"" data-qa-action=""unfold-categor","//div[contains(@class, 'layout-categories-category-animation')]",div.layout-categories-category-animation,layout-categories-category-animation layout-categories-category__subcategory-animation-wrapper layout-categories-category-animation--animate
cls_span_layout-categories-category__tag,"<span class=""layout-categories-category__tag layout-categories-category__tag--sup"">NEW</span>","//span[contains(@class, 'layout-categories-category__tag')]",span.layout-categories-category__tag,layout-categories-category__tag layout-categories-category__tag--sup
cls_div_layout-content,"<div class=""layout-content layout-catalog-content--full""><main class=""layout-content__main"" id=""main""><div class=""layout-content__article""><div class=""content-header""><div class=""content-header__info""><h1 class=""screen-reader-text"">ZARA Ireland | SALE</h1></div></div><script type=""application/ld+json"">{""@context"":""https://schema.org"",""@type"":""WebSite"",""name"":""ZARA"",""url"":""https://www.zara.com/ie/"",""potentialAction"":{""@type"":""SearchAction"",""target"":""https://www.zara.com/ie/en/search?searchTerm={search_term_s","//div[contains(@class, 'layout-content')]",div.layout-content,layout-content layout-catalog-content--full
cls_div_layout-content__article,"<div class=""layout-content__article""><div class=""content-header""><div class=""content-header__info""><h1 class=""screen-reader-text"">ZARA Ireland | SALE</h1></div></div><script type=""application/ld+json"">{""@context"":""https://schema.org"",""@type"":""WebSite"",""name"":""ZARA"",""url"":""https://www.zara.com/ie/"",""potentialAction"":{""@type"":""SearchAction"",""target"":""https://www.zara.com/ie/en/search?searchTerm={search_term_string}"",""query-input"":""required name=search_term_string""}}</script><script type=""application/ld+json"">","//div[contains(@class, 'layout-content__article')]",div.layout-content__article,layout-content__article
cls_div_content-header,"<div class=""content-header""><div class=""content-header__info""><h1 class=""screen-reader-text"">ZARA Ireland | SALE</h1></div></div>","//div[contains(@class, 'content-header')]",div.content-header,content-header
cls_div_content-header__info,"<div class=""content-header__info""><h1 class=""screen-reader-text"">ZARA Ireland | SALE</h1></div>","//div[contains(@class, 'content-header__info')]",div.content-header__info,content-header__info
cls_h1_screen-reader-text,"<h1 class=""screen-reader-text"">ZARA Ireland | SALE</h1>","//h1[contains(@class, 'screen-reader-text')]",h1.screen-reader-text,screen-reader-text
cls_div_slider-spot__slide-content,"<div class=""slider-spot__slide-content"" style=""background: rgb(255, 255, 255); transform: scale(0.788341);""><div class=""media slider-spot__slide-background""><div class=""media__wrapper media__wrapper--by-aspect-ratio media__wrapper--fit media__wrapper--content-margin-top media__wrapper--content-margin-left media__wrapper--content-margin-right media__wrapper--content-margin-bottom"" style=""padding: 235px 48px 128px;""><div class=""media-image__wrapper""><img class=""media-image__image"" data-qa-qualifier=""media-ima","//div[contains(@class, 'slider-spot__slide-content')]",div.slider-spot__slide-content,slider-spot__slide-content
cls_div_media,"<div class=""media slider-spot__slide-background""><div class=""media__wrapper media__wrapper--by-aspect-ratio media__wrapper--fit media__wrapper--content-margin-top media__wrapper--content-margin-left media__wrapper--content-margin-right media__wrapper--content-margin-bottom"" style=""padding: 235px 48px 128px;""><div class=""media-image__wrapper""><img class=""media-image__image"" data-qa-qualifier=""media-image"" alt=""Model wearing a light blue blouse and gold necklace on an urban street, with brick buildings and tr","//div[contains(@class, 'media')]",div.media,media slider-spot__slide-background
cls_div_media__wrapper,"<div class=""media__wrapper media__wrapper--by-aspect-ratio media__wrapper--fit media__wrapper--content-margin-top media__wrapper--content-margin-left media__wrapper--content-margin-right media__wrapper--content-margin-bottom"" style=""padding: 235px 48px 128px;""><div class=""media-image__wrapper""><img class=""media-image__image"" data-qa-qualifier=""media-image"" alt=""Model wearing a light blue blouse and gold necklace on an urban street, with brick buildings and traffic in the background."" src=""https://static.zar","//div[contains(@class, 'media__wrapper')]",div.media__wrapper,media__wrapper media__wrapper--by-aspect-ratio media__wrapper--fit media__wrapper--content-margin-top media__wrapper--content-margin-left media__wrapper--content-margin-right media__wrapper--content-margin-bottom
cls_div_media-image__wrapper,"<div class=""media-image__wrapper""><img class=""media-image__image"" data-qa-qualifier=""media-image"" alt=""Model wearing a light blue blouse and gold necklace on an urban street, with brick buildings and traffic in the background."" src=""https://static.zara.net/assets/public/fec3/5f37/e77f4defabfb/4f4fbbe13eb3/image-landscape-fit-f631b614-b187-4afd-9079-efbd7523db42-default_0/image-landscape-fit-f631b614-b187-4afd-9079-efbd7523db42-default_0.jpg?ts=1752506105680&amp;w=716""><img class=""media-image__svg"" alt=""Mode","//div[contains(@class, 'media-image__wrapper')]",div.media-image__wrapper,media-image__wrapper
cls_div_slider-spot-slide-editorial__content,"<div class=""slider-spot-slide-editorial__content""></div>","//div[contains(@class, 'slider-spot-slide-editorial__content')]",div.slider-spot-slide-editorial__content,slider-spot-slide-editorial__content
cls_div_media-video,"<div class=""media-video media__wrapper--media media-video__wrapper""><div class=""media-video__player""><video class=""media-video__video"" playsinline="""" loop=""""><source type=""video/mp4"" src=""blob:https://www.zara.com/caae9c14-8e6d-46c0-86e1-f180f06cc255""><img class=""media-video__poster"" src=""https://static.zara.net/assets/public/8d6d/1a1b/573e4be381c4/347747f41271/ss25-50th-anniversary-subhome-xmedia-phase2-video-landscape_0/poster/poster.jpg?ts=1751530478608"" alt=""""></video><div class=""media-video__controls"" ","//div[contains(@class, 'media-video')]",div.media-video,media-video media__wrapper--media media-video__wrapper
cls_div_media-video__player,"<div class=""media-video__player""><video class=""media-video__video"" playsinline="""" loop=""""><source type=""video/mp4"" src=""blob:https://www.zara.com/caae9c14-8e6d-46c0-86e1-f180f06cc255""><img class=""media-video__poster"" src=""https://static.zara.net/assets/public/8d6d/1a1b/573e4be381c4/347747f41271/ss25-50th-anniversary-subhome-xmedia-phase2-video-landscape_0/poster/poster.jpg?ts=1751530478608"" alt=""""></video><div class=""media-video__controls"" dir=""ltr"" style=""color: rgb(0, 0, 0); fill: rgb(0, 0, 0);""><div clas","//div[contains(@class, 'media-video__player')]",div.media-video__player,media-video__player
cls_div_media-video__controls,"<div class=""media-video__controls"" dir=""ltr"" style=""color: rgb(0, 0, 0); fill: rgb(0, 0, 0);""><div class=""media-video__controls-top""></div><div class=""media-video__controls-bottom""><div class=""media-video__controls-left""><button type=""button"" class=""media-video-audio-toggle"" data-qa-qualifier=""video-audio-disabled"" data-qa-action=""video-toggle-audio"" aria-label=""Activate audio""><svg class=""media-video-audio-toggle__icon"" width=""32"" height=""32"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" fill=""inh","//div[contains(@class, 'media-video__controls')]",div.media-video__controls,media-video__controls
cls_div_media-video__controls-top,"<div class=""media-video__controls-top""></div>","//div[contains(@class, 'media-video__controls-top')]",div.media-video__controls-top,media-video__controls-top
cls_div_media-video__controls-bottom,"<div class=""media-video__controls-bottom""><div class=""media-video__controls-left""><button type=""button"" class=""media-video-audio-toggle"" data-qa-qualifier=""video-audio-disabled"" data-qa-action=""video-toggle-audio"" aria-label=""Activate audio""><svg class=""media-video-audio-toggle__icon"" width=""32"" height=""32"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path d=""M3.646 4.354l24 24 .708-.708-24-24-.708.708zM3.5 11.5h4.747l1 1H4.5v7h5.288l5.712 4.998V20h1v6.702L9.412 20","//div[contains(@class, 'media-video__controls-bottom')]",div.media-video__controls-bottom,media-video__controls-bottom
cls_div_media-video__controls-left,"<div class=""media-video__controls-left""><button type=""button"" class=""media-video-audio-toggle"" data-qa-qualifier=""video-audio-disabled"" data-qa-action=""video-toggle-audio"" aria-label=""Activate audio""><svg class=""media-video-audio-toggle__icon"" width=""32"" height=""32"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path d=""M3.646 4.354l24 24 .708-.708-24-24-.708.708zM3.5 11.5h4.747l1 1H4.5v7h5.288l5.712 4.998V20h1v6.702L9.412 20.5H3.5v-9zm20.636-6.036c4.84 4.84 5.654 12","//div[contains(@class, 'media-video__controls-left')]",div.media-video__controls-left,media-video__controls-left
cls_button_media-video-audio-toggle,"<button type=""button"" class=""media-video-audio-toggle"" data-qa-qualifier=""video-audio-disabled"" data-qa-action=""video-toggle-audio"" aria-label=""Activate audio""><svg class=""media-video-audio-toggle__icon"" width=""32"" height=""32"" viewBox=""0 0 32 32"" xmlns=""http://www.w3.org/2000/svg"" fill=""inherit"" stroke=""inherit""><path d=""M3.646 4.354l24 24 .708-.708-24-24-.708.708zM3.5 11.5h4.747l1 1H4.5v7h5.288l5.712 4.998V20h1v6.702L9.412 20.5H3.5v-9zm20.636-6.036c4.84 4.84 5.654 12.18 2.443 17.862l-.736-.736c2.836-5.265 ","//button[contains(@class, 'media-video-audio-toggle')]",button.media-video-audio-toggle,media-video-audio-toggle
cls_div_media-video__controls-right,"<div class=""media-video__controls-right""></div>","//div[contains(@class, 'media-video__controls-right')]",div.media-video__controls-right,media-video__controls-right
cls_div_slider-spot-slide-footer__content,"<div class=""slider-spot-slide-footer__content""><div class=""slider-spot-slide-footer-redirection""><div class=""slider-spot-slide-footer-redirection__title"">THE NEW</div><div class=""slider-spot-slide-footer-redirection__subtitle""><span>Scroll down</span></div><div class=""slider-spot-slide-footer-redirection__line"" role=""presentation""></div></div><div class=""slider-spot-slide-footer-marketing__main""><h2 class=""screen-reader-text""><span>Footer</span></h2><a class=""slider-spot-slide-footer-marketing__newsletter l","//div[contains(@class, 'slider-spot-slide-footer__content')]",div.slider-spot-slide-footer__content,slider-spot-slide-footer__content
cls_div_slider-spot-slide-footer-redirection,"<div class=""slider-spot-slide-footer-redirection""><div class=""slider-spot-slide-footer-redirection__title"">THE NEW</div><div class=""slider-spot-slide-footer-redirection__subtitle""><span>Scroll down</span></div><div class=""slider-spot-slide-footer-redirection__line"" role=""presentation""></div></div>","//div[contains(@class, 'slider-spot-slide-footer-redirection')]",div.slider-spot-slide-footer-redirection,slider-spot-slide-footer-redirection
cls_div_slider-spot-slide-footer-redirection__title,"<div class=""slider-spot-slide-footer-redirection__title"">THE NEW</div>","//div[contains(@class, 'slider-spot-slide-footer-redirection__title')]",div.slider-spot-slide-footer-redirection__title,slider-spot-slide-footer-redirection__title
